28car.com Key Value,Chinese,English
2,極品,Acura
3,愛快,Alfa Romeo
4,阿士頓馬田,Aston Martin
5,奧迪,Audi
6,賓利,Bentley
7,寶馬,BMW
8,先進,Citroen
10,大發,Daihatsu
11,法拉利,Ferrari
12,快意,Fiat
13,福特,Ford
16,本田,Honda
17,現代,Hyundai
18,INFINITI,Infiniti
22,積架,Jaguar
23,JEEP,JEEP
24,起亞,Kia
25,凌志,Lexus
26,林寶堅尼,Lamborghini
27,越野路華,Land Rover
28,蓮花,Lotus
30,瑪莎拉蒂,Maserati
31,萬事得,Mazda
33,平治,Mercedes Benz
34,迷你,Mini
35,三菱,Mitsubishi
36,日產,Nissan
38,標緻,Peugeot
39,保時捷,Porsche
40,雷諾,Renault
41,勞斯萊斯,Rolls-Royce
46,SMART,Smart
48,富士,Subaru
49,鈴木,Suzuki
50,豐田,Toyota
52,福士,Volkswagen
53,富豪,Volvo
